 ,Area,Mean,Min,Max
1,293,255,255,255
2,455,255,255,255
3,329,255,255,255
4,426,255,255,255
5,281,255,255,255
6,481,255,255,255
7,288,255,255,255
8,477,255,255,255
9,320,255,255,255
10,310,255,255,255
11,275,255,255,255
12,293,255,255,255
13,276,255,255,255
14,316,255,255,255
15,291,255,255,255
16,327,255,255,255
17,255,255,255,255
18,438,255,255,255
19,354,255,255,255
20,297,255,255,255
21,308,255,255,255
22,275,255,255,255
23,353,255,255,255
24,336,255,255,255
25,434,255,255,255
26,25,255,255,255
27,291,255,255,255
28,313,255,255,255
29,304,255,255,255
30,288,255,255,255
31,327,255,255,255
32,285,255,255,255
33,450,255,255,255
34,474,255,255,255
35,287,255,255,255
36,317,255,255,255
37,362,255,255,255
38,33,255,255,255
39,217,255,255,255
40,298,255,255,255
41,389,255,255,255
42,328,255,255,255
43,428,255,255,255
44,315,255,255,255
45,259,255,255,255
46,385,255,255,255
47,320,255,255,255
48,381,255,255,255
49,310,255,255,255
50,331,255,255,255
51,285,255,255,255
52,251,255,255,255
53,443,255,255,255
54,305,255,255,255
55,336,255,255,255
56,285,255,255,255
57,472,255,255,255
58,263,255,255,255
59,25,255,255,255
60,341,255,255,255
61,278,255,255,255
62,329,255,255,255
63,474,255,255,255
64,362,255,255,255
65,280,255,255,255
66,448,255,255,255
67,255,255,255,255
68,363,255,255,255
69,241,255,255,255
70,344,255,255,255
71,200,255,255,255
72,242,255,255,255
73,446,255,255,255
74,296,255,255,255
75,228,255,255,255
76,280,255,255,255
77,319,255,255,255
78,434,255,255,255
79,321,255,255,255
80,301,255,255,255
81,227,255,255,255
82,245,255,255,255
83,207,255,255,255
84,324,255,255,255
85,337,255,255,255
86,206,255,255,255
87,201,255,255,255
88,233,255,255,255
89,340,255,255,255
90,203,255,255,255
91,247,255,255,255
92,242,255,255,255
93,268,255,255,255
94,312,255,255,255
95,316,255,255,255
96,243,255,255,255
97,248,255,255,255
98,290,255,255,255
99,244,255,255,255
100,292,255,255,255
101,264,255,255,255
102,372,255,255,255
103,241,255,255,255
104,389,255,255,255
105,262,255,255,255
106,285,255,255,255
107,332,255,255,255
108,262,255,255,255
109,256,255,255,255
110,243,255,255,255
111,243,255,255,255
112,421,255,255,255
113,307,255,255,255
114,253,255,255,255
115,265,255,255,255
116,242,255,255,255
117,239,255,255,255
118,274,255,255,255
119,245,255,255,255
120,427,255,255,255
121,248,255,255,255
122,278,255,255,255
123,310,255,255,255
124,351,255,255,255
125,237,255,255,255
126,236,255,255,255
127,253,255,255,255
128,254,255,255,255
129,223,255,255,255
130,247,255,255,255
131,255,255,255,255
132,475,255,255,255
133,332,255,255,255
134,235,255,255,255
135,217,255,255,255
136,257,255,255,255
137,306,255,255,255
138,251,255,255,255
139,287,255,255,255
140,332,255,255,255
141,252,255,255,255
142,224,255,255,255
143,298,255,255,255
144,263,255,255,255
145,299,255,255,255
146,375,255,255,255
147,326,255,255,255
148,333,255,255,255
149,321,255,255,255
150,377,255,255,255
151,255,255,255,255
152,432,255,255,255
153,310,255,255,255
154,23,255,255,255
155,276,255,255,255
156,280,255,255,255
157,496,255,255,255
158,331,255,255,255
159,289,255,255,255
160,240,255,255,255
161,271,255,255,255
162,387,255,255,255
163,238,255,255,255
164,256,255,255,255
165,499,255,255,255
166,301,255,255,255
167,309,255,255,255
168,284,255,255,255
169,492,255,255,255
170,349,255,255,255
171,235,255,255,255
172,194,255,255,255
173,353,255,255,255
174,239,255,255,255
175,223,255,255,255
176,234,255,255,255
177,233,255,255,255
178,232,255,255,255
179,234,255,255,255
180,283,255,255,255
181,452,255,255,255
182,223,255,255,255
183,374,255,255,255
184,402,255,255,255
185,379,255,255,255
186,226,255,255,255
187,288,255,255,255
188,279,255,255,255
189,214,255,255,255
190,223,255,255,255
191,273,255,255,255
192,248,255,255,255
193,392,255,255,255
194,292,255,255,255
195,271,255,255,255
196,301,255,255,255
197,359,255,255,255
198,241,255,255,255
199,499,255,255,255
200,373,255,255,255
201,287,255,255,255
202,359,255,255,255
203,423,255,255,255
204,392,255,255,255
205,368,255,255,255
206,426,255,255,255
207,449,255,255,255
208,268,255,255,255
209,226,255,255,255
210,420,255,255,255
211,287,255,255,255
212,263,255,255,255
213,376,255,255,255
214,248,255,255,255
215,348,255,255,255
216,242,255,255,255
217,433,255,255,255
218,282,255,255,255
219,345,255,255,255
220,254,255,255,255
221,324,255,255,255
222,327,255,255,255
223,327,255,255,255
224,444,255,255,255
225,290,255,255,255
226,289,255,255,255
227,431,255,255,255
228,370,255,255,255
229,255,255,255,255
230,388,255,255,255
231,441,255,255,255
232,292,255,255,255
233,494,255,255,255
234,408,255,255,255
235,272,255,255,255
236,254,255,255,255
237,289,255,255,255
238,294,255,255,255
239,230,255,255,255
240,407,255,255,255
241,372,255,255,255
242,234,255,255,255
243,275,255,255,255
244,229,255,255,255
245,337,255,255,255
246,256,255,255,255
247,397,255,255,255
248,283,255,255,255
249,254,255,255,255
250,272,255,255,255
251,258,255,255,255
252,339,255,255,255
253,246,255,255,255
254,402,255,255,255
255,278,255,255,255
256,272,255,255,255
257,402,255,255,255
258,257,255,255,255
259,260,255,255,255
260,282,255,255,255
261,270,255,255,255
262,393,255,255,255
263,254,255,255,255
264,414,255,255,255
265,467,255,255,255
266,400,255,255,255
267,434,255,255,255
268,315,255,255,255
269,453,255,255,255
270,256,255,255,255
271,276,255,255,255
272,373,255,255,255
273,271,255,255,255
274,263,255,255,255
275,279,255,255,255
276,276,255,255,255
277,268,255,255,255
278,257,255,255,255
279,281,255,255,255
280,274,255,255,255
281,263,255,255,255
282,311,255,255,255
283,281,255,255,255
284,275,255,255,255
285,245,255,255,255
286,285,255,255,255
287,251,255,255,255
288,243,255,255,255
289,244,255,255,255
290,258,255,255,255
291,374,255,255,255
292,247,255,255,255
293,334,255,255,255
294,376,255,255,255
295,257,255,255,255
296,417,255,255,255
297,231,255,255,255
298,291,255,255,255
299,370,255,255,255
300,261,255,255,255
301,237,255,255,255
302,414,255,255,255
303,438,255,255,255
304,455,255,255,255
305,416,255,255,255
306,279,255,255,255
307,419,255,255,255
308,283,255,255,255
309,267,255,255,255
310,437,255,255,255
311,262,255,255,255
312,246,255,255,255
313,412,255,255,255
314,223,255,255,255
315,267,255,255,255
316,349,255,255,255
317,370,255,255,255
318,322,255,255,255
319,404,255,255,255
320,280,255,255,255
321,249,255,255,255
322,459,255,255,255
323,215,255,255,255
324,389,255,255,255
325,294,255,255,255
326,373,255,255,255
327,276,255,255,255
328,269,255,255,255
329,408,255,255,255
330,404,255,255,255
331,404,255,255,255
332,414,255,255,255
333,267,255,255,255
334,439,255,255,255
335,483,255,255,255
336,231,255,255,255
337,386,255,255,255
338,234,255,255,255
339,288,255,255,255
340,265,255,255,255
341,266,255,255,255
342,257,255,255,255
343,431,255,255,255
344,445,255,255,255
345,339,255,255,255
346,235,255,255,255
347,431,255,255,255
348,230,255,255,255
349,258,255,255,255
350,325,255,255,255
351,214,255,255,255
352,393,255,255,255
353,458,255,255,255
354,266,255,255,255
355,222,255,255,255
356,345,255,255,255
357,290,255,255,255
358,463,255,255,255
359,497,255,255,255
360,224,255,255,255
361,315,255,255,255
362,403,255,255,255
363,246,255,255,255
364,237,255,255,255
365,318,255,255,255
366,322,255,255,255
367,306,255,255,255
368,236,255,255,255
369,498,255,255,255
370,236,255,255,255
371,476,255,255,255
372,500,255,255,255
373,465,255,255,255
374,229,255,255,255
375,295,255,255,255
376,348,255,255,255
377,294,255,255,255
378,249,255,255,255
379,270,255,255,255
380,260,255,255,255
381,496,255,255,255
382,270,255,255,255
383,289,255,255,255
384,266,255,255,255
385,462,255,255,255
386,304,255,255,255
387,423,255,255,255
388,457,255,255,255
389,408,255,255,255
390,472,255,255,255
391,274,255,255,255
392,284,255,255,255
393,421,255,255,255
394,454,255,255,255
395,291,255,255,255
396,268,255,255,255
397,265,255,255,255
398,335,255,255,255
399,489,255,255,255
400,405,255,255,255
401,493,255,255,255
402,243,255,255,255
403,233,255,255,255
404,499,255,255,255
405,436,255,255,255
406,296,255,255,255
407,403,255,255,255
408,252,255,255,255
409,374,255,255,255
410,274,255,255,255
411,266,255,255,255
412,494,255,255,255
413,426,255,255,255
414,314,255,255,255
415,269,255,255,255
416,476,255,255,255
417,316,255,255,255
418,405,255,255,255
419,359,255,255,255
420,286,255,255,255
421,431,255,255,255
422,444,255,255,255
423,404,255,255,255
424,392,255,255,255
425,263,255,255,255
426,482,255,255,255
427,316,255,255,255
428,267,255,255,255
429,251,255,255,255
430,347,255,255,255
431,438,255,255,255
432,466,255,255,255
433,337,255,255,255
434,288,255,255,255
435,248,255,255,255
436,325,255,255,255
437,272,255,255,255
438,306,255,255,255
439,322,255,255,255
440,468,255,255,255
441,373,255,255,255
442,433,255,255,255
443,346,255,255,255
444,340,255,255,255
445,322,255,255,255
446,249,255,255,255
447,458,255,255,255
448,291,255,255,255
449,462,255,255,255
450,319,255,255,255
451,338,255,255,255
452,483,255,255,255
453,263,255,255,255
454,363,255,255,255
455,457,255,255,255
456,414,255,255,255
457,361,255,255,255
458,385,255,255,255
459,329,255,255,255
460,329,255,255,255
461,426,255,255,255
462,425,255,255,255
463,319,255,255,255
464,332,255,255,255
465,359,255,255,255
466,283,255,255,255
467,265,255,255,255
468,389,255,255,255
469,375,255,255,255
470,267,255,255,255
471,374,255,255,255
472,288,255,255,255
473,308,255,255,255
474,384,255,255,255
475,380,255,255,255
476,382,255,255,255
477,394,255,255,255
478,428,255,255,255
479,297,255,255,255
480,312,255,255,255
481,447,255,255,255
482,327,255,255,255
483,265,255,255,255
484,329,255,255,255
485,419,255,255,255
486,274,255,255,255
487,333,255,255,255
488,284,255,255,255
489,321,255,255,255
490,328,255,255,255
491,277,255,255,255
492,420,255,255,255
493,283,255,255,255
494,317,255,255,255
495,338,255,255,255
496,345,255,255,255
497,302,255,255,255
498,275,255,255,255
499,364,255,255,255
500,258,255,255,255
501,417,255,255,255
502,298,255,255,255
503,391,255,255,255
504,281,255,255,255
505,405,255,255,255
506,472,255,255,255
507,496,255,255,255
508,287,255,255,255
509,254,255,255,255
510,465,255,255,255
511,486,255,255,255
512,301,255,255,255
513,323,255,255,255
514,259,255,255,255
515,375,255,255,255
516,426,255,255,255
517,410,255,255,255
518,333,255,255,255
519,469,255,255,255
520,324,255,255,255
521,489,255,255,255
522,379,255,255,255
523,321,255,255,255
524,360,255,255,255
525,384,255,255,255
526,294,255,255,255
527,377,255,255,255
528,289,255,255,255
529,414,255,255,255
530,491,255,255,255
531,324,255,255,255
532,388,255,255,255
533,444,255,255,255
534,267,255,255,255
535,313,255,255,255
536,479,255,255,255
537,413,255,255,255
538,307,255,255,255
539,20,255,255,255
540,291,255,255,255
541,282,255,255,255
542,306,255,255,255
543,291,255,255,255
544,20,255,255,255
545,275,255,255,255
546,435,255,255,255
547,349,255,255,255
548,473,255,255,255
549,363,255,255,255
550,471,255,255,255
551,348,255,255,255
552,310,255,255,255
553,459,255,255,255
554,458,255,255,255
555,301,255,255,255
556,315,255,255,255
557,476,255,255,255
558,332,255,255,255
559,337,255,255,255
560,404,255,255,255
561,364,255,255,255
562,317,255,255,255
563,333,255,255,255
564,454,255,255,255
565,323,255,255,255
566,320,255,255,255
567,298,255,255,255
568,306,255,255,255
569,358,255,255,255
570,341,255,255,255
571,472,255,255,255
572,312,255,255,255
573,302,255,255,255
574,280,255,255,255
575,318,255,255,255
